SCG ID,Solution Name,Solution Version,Product Name,Product Version,Feature/Component,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example
esxi-7.deactivate-cim,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi CIM service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop with host","Stopped,
Start and stop manually",NO,Modify,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'sfcbd-watchdog' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'sfcbd-watchdog' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'sfcbd-watchdog'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'sfcbd-watchdog'} | Stop-VMHostService"
esxi-7.deactivate-mob,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi Managed Object Browser (MOB) must be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,Config.HostAgent.plugins.solo.enableMob,False,False,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob | Set-AdvancedSetting -Value False
esxi-7.deactivate-shell,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi shell should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM'} | Stop-VMHostService"
esxi-7.deactivate-slp,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi SLP service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'slpd' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'slpd' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'slpd'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'slpd'} | Stop-VMHostService"
esxi-7.deactivate-snmp,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi SNMP service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop with host","Stopped,
Start and stop manually",NO,Modify,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'snmpd' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'snmpd' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'snmpd'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'snmpd'} | Stop-VMHostService"
esxi-7.deactivate-ssh,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi SSH service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM-SSH' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM-SSH' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM-SSH'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM-SSH'} | Stop-VMHostService"
esxi-7.etc-issue,VMware vSphere,7,VMware ESXi,7.0.3,Base,P1,Configure the login banner for ESXi host SSH connections.,"ESXi enables a login message display, often used to deter intruders and inform authorized users about system use obligations. This parameter defines the text shown during an SSH connection. It is highly recommended to keep SSH in the stopped state unless troubleshooting.",Config.Etc.Issue,Not Configured,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.Etc.Issue,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.Etc.Issue | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time."""
esxi-7.firewall-incoming-default,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must configure the firewall to block network traffic by default.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and preventing unauthorized access to the host.",N/A,Enabled,Enabled,YES,Audit,esxcli,None,Get-VMHost -Name $ESXi | Get-VMHostFirewallDefaultPolicy,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.defaultaction = $FALSE
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)"
esxi-7.firewall-restrict-access,VMware vSphere,7,VMware ESXi,7.0.3,Base,P1,Configure the ESXi host firewall to only allow traffic from authorized networks.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and preventing unauthorized access to the host.",N/A,Connections allowed from any IP address,Connections allowed only from authorized infrastructure and administration workstations,NO,Modify,ESXi Firewall Configuration,"Firewall is simplistic, akin to router ACLs, and may need reflexive rules configured.","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.network.firewall.ruleset.list.Invoke()
$ESXcli.network.firewall.ruleset.allowedip.list.Invoke()","# This is an example which you will want to customize!
$ESXcli = Get-EsxCli -VMHost $ESXi -V2
# Deactivate firewall temporarily so we don't lose connectivity
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $false
$ESXcli.network.firewall.set.Invoke($arguments)

# Unset the ""allow all"" flag
$arguments = $ESXcli.network.firewall.ruleset.set.CreateArgs()
$arguments.allowedall = $false
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.set.Invoke($arguments)

# Add an IP range
$arguments = $ESXcli.network.firewall.ruleset.allowedip.add.CreateArgs()
$arguments.ipaddress = ""192.168.0.0/16""
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.allowedip.add.Invoke($arguments)

# Enable the firewall
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)"
esxi-7.host-client-session-timeout,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must automatically terminate idle host client sessions.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",UserVars.HostClientSessionTimeout,900,900,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.HostClientSessionTimeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.HostClientSessionTimeout | Set-AdvancedSetting -Value 900
esxi-7.iscsi-mutual-chap,VMware vSphere,7,VMware ESXi,7.0.3,iSCSI,"P0
Upon Feature Enablement",Enable bidirectional/mutual CHAP authentication for iSCSI traffic.,"Mutual CHAP provides an additional layer of protection by requiring both the initiator (client) and the target (server) to verify their identities to each other, thereby ensuring data transmitted between the two is not intercepted or altered by unauthorized entities.","Set iSCSI storage adapter authentication to ""Use bidirectional CHAP"" and supply credentials",Not Configured,Configured If Feature In Use,NO,Modify,ESXi iSCSI Configuration,None,"Get-VMHost -Name $ESXi | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Select VMHost, Device, ChapType, @{N=""CHAPName"";E={$_.AuthenticationProperties.ChapName}}","# Get-VMHost -Name $ESXi | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Set-VMHostHba <parameters>"
esxi-7.lockdown-dcui-access,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must have an accurate DCUI.Access list.,"Ensures that only authorized users have direct console user interface (DCUI) access to the ESXi host when Lockdown Mode is enabled. The root user cannot be removed from the list.

To control ESXi Shell and/or SSH access use the Lockdown Mode Exception Users list.",DCUI.Access,root,root,YES,Audit,"ESXi Advanced
System Settings",Potential for loss of administrative access to hosts. Ensure that the host is attached to the vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.,Get-VMHost -Name $ESXi | Get-AdvancedSetting DCUI.Access,Get-VMHost -Name $ESXi | Get-AdvancedSetting DCUI.Access | Set-AdvancedSetting -Value root
esxi-7.lockdown-exception-users,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must have an accurate Exception Users list.,"Users on the Lockdown Mode ""Exception Users"" list do not lose their privileges when the host enters lockdown mode, which can potentially defeat the purpose of lockdown mode.",N/A,Null,Null,YES,Audit,ESXi Security Profile,Potential for loss of administrative access to hosts. Ensure that the host is attached to the vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.,(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).QueryLockdownExceptions(),(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).UpdateLockdownExceptions($NULL)
esxi-7.lockdown-mode,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Enable normal lockdown mode on the ESXi host.,"Enabling lockdown mode deactivates direct access to an ESXi host and requires that the host be managed remotely from vCenter Server. This is done to ensure that the roles and access controls implemented in vCenter are always enforced, and users cannot bypass them by logging into a host directly. By forcing all interactions to occur through vCenter Server, the risk of someone attaining elevated privileges or performing tasks that are not properly audited is greatly reduced.

Note that users listed in the Exception Users list for each host are allowed to override lockdown mode and log in. By default, no users are present on the Exception Users list.

There are three settings for lockdown mode: disabled, normal, and strict. Choosing strict means that if the ESXi host loses contact with vCenter Server, it cannot be managed in any way until that connection is restored. If the connection cannot be restored, the host will need to be rebuilt. This level of lockdown mode is typically not necessary for most deployments and can present significant operational challenges. Therefore, we recommend using normal lockdown mode.",N/A,lockdownDisabled,lockdownNormal,NO,Modify,ESXi Security Profile,"Potential for loss of administrative access to hosts. Ensure that the host is attached to vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.

There are some operations, such as backup and troubleshooting, that require direct access to the host. In these cases, Lockdown Mode can be deactivated on a temporary basis for specific hosts as needed, and then re-enabled when the task is completed.",(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).LockdownMode,(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).ChangeLockdownMode('lockdownNormal')
esxi-7.logs-audit-local,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi host must enable audit record logging.,ESXi will store audit records locally.,Syslog.global.auditRecord.storageEnable,FALSE,TRUE,NO,Modify,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageEnable,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageEnable | Set-AdvancedSetting -Value TRUE
esxi-7.logs-audit-local-capacity,VMware vSphere,7,VMware ESXi,7.0.3,Base,P1,The ESXi host must store one week of audit records.,"If a remote audit record storage facility is available, it is essential to ensure that the local storage capacity is sufficient to hold audit records that may accumulate during anticipated interruptions in the delivery of records to the facility. This ensures that audit records are not lost or overwritten during periods when the remote storage is unavailable, allowing for seamless continuity of the audit trail and compliance requirements.",Syslog.global.auditRecord.storageCapacity,4,100,NO,Modify,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageCapacity,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageCapacity | Set-AdvancedSetting -Value 100
esxi-7.logs-audit-persistent,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Configure a persistent log location for all locally stored audit records on the ESXi host.,"ESXi can be configured to store audit records on an in-memory file system.  This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done only a single day's worth of records are stored at any time. In addition audit records will be reinitialized upon each reboot.  This presents a security risk as user activity logged on the host is only stored temporarily and will not persistent across reboots.  This can also complicate auditing and make it harder to monitor events and diagnose issues.  ESXi host audit record logging should always be configured to a persistent datastore.

Cannot be a vSAN datastore. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.",Syslog.global.auditRecord.storageDirectory,[] /scratch/auditLog,Site-Specific Audit Record Directory,NO,Modify,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageDirectory,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logDir | Set-AdvancedSetting -Value ""<directory>"""
esxi-7.logs-audit-remote,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi host must transmit audit records to a remote host.,ESXi will transmit audit records to the configured log collector.,Syslog.global.auditRecord.remoteEnable,FALSE,TRUE,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.remoteEnable,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.remoteEnable | Set-AdvancedSetting -Value TRUE
esxi-7.logs-filter,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must not enable log filtering.,"You can create log filters to reduce the number of repetitive entries, and to deny specific log events entirely.",Syslog.global.logFiltersEnable,FALSE,FALSE,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logFiltersEnable,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logFiltersEnable | Set-AdvancedSetting -Value FALSE
esxi-7.logs-level,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,Set the ESXi host logging informational level to info.,It is important to ensure that sufficient information is present in audit logs for diagnostics and forensics purposes.,Config.HostAgent.log.level,info,info,YES,Audit,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.log.level,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.log.level | Set-AdvancedSetting -Value info
esxi-7.logs-level-global,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi host must log sufficient information for events.,"Without sufficient log data, critical indicators of compromise may go unnoticed, leading to increased vulnerability and potential failure to respond effectively to cybersecurity incidents.",Syslog.global.logLevel,error,info,NO,Modify,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logLevel,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logLevel | Set-AdvancedSetting -Value info
esxi-7.logs-persistent,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Configure a persistent log location for all locally stored logs on the ESXi host.,"ESXi can be configured to store log files on an in-memory file system. This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done, only a single day's worth of logs is stored at any time. Additionally, log files will be reinitialized upon each reboot. This presents a security risk as user activity logged on the host is only stored temporarily and will not persist across reboots. It can also complicate auditing and make it harder to monitor events and diagnose issues. Therefore, it is recommended to configure ESXi host logging to a persistent datastore.

Cannot be a vSAN datastore unless Syslog.global.vsanBacking is set, which has caveats & dependencies. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.",Syslog.global.logDir,[] /scratch/log,Site-Specific Log Directory,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logDir,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logDir | Set-AdvancedSetting -Value ""<directory>"""
esxi-7.logs-remote,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Configure a remote log server for the ESXi host.,"Remote logging to a central log host provides a secure and centralized store for ESXi logs. By gathering host log files onto a central host, you can more easily monitor all hosts using a single tool. Additionally, you can perform aggregate analysis and searching to identify coordinated attacks on multiple hosts. Logging to a secure and centralized log server helps prevent log tampering and ensures a long-term audit record.",Syslog.global.logHost,Not Configured,Site-Specific Log Server,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logHost,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logHost | Set-AdvancedSetting -Value ""<log collector>"""
esxi-7.logs-remote-tls,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must verify certificates for TLS remote logging endpoints.,TLS certificates help ensure that the endpoint is authentic and trustworthy.,Syslog.global.certificate.checkSSLCerts,TRUE,TRUE,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.checkSSLCerts,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.checkSSLCerts | Set-AdvancedSetting -Value TRUE
esxi-7.logs-remote-tls-x509,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi host must use strict x509 verification for TLS-enabled remote logging endpoints.,"This ""x509-strict"" option performs additional validity checks on CA root certificates during verification.",Syslog.global.certificate.strictX509Compliance,FALSE,TRUE,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.strictX509Compliance,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.strictX509Compliance | Set-AdvancedSetting -Value TRUE
