control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
esx.ad-auth-proxy,P0,HostSystem,VMWARE,,powercli_only,string,Site-Specific,When adding ESXi hosts to Active Directory use the vSphere Authentication Proxy to protect passwords,If you configure your host to join an Active Directory domain using Host Profiles the Active Directory credentials are saved in the host profile and are transmitted over the network.  To avoid having to save Active Directory credentials in the Host Profile and to avoid transmitting Active Directory credentials over the network  use the vSphere Authentication Proxy.,SCG-6.7:ESXi.enable-auth-proxy,# Join the ESXI Host to the Domain ; Get-VMHost HOST1 | Get-VMHostAuthentication | Set-VMHostAuthentication -Domain domain.local -User Administrator -Password Passw0rd -JoinDomain,
esx.iscsi-mutual-chap,P0,HostSystem,VMWARE,"Use Chap, Name, Secret",powercli_only,string,Site-Specific,"Enable bidirectional CHAP, also known as Mutual CHAP, authentication for iSCSI traffic","vSphere allows for the use of bidirectional authentication of both the iSCSI target and host. Choosing not to enforce more stringent authentication can make sense if you create a dedicated network or VLAN to service all your iSCSI devices. By not authenticating both the iSCSI target and host, there is a potential for a MiTM attack in which an attacker might impersonate either side of the connection to steal data. Bidirectional authentication can mitigate this risk. If the iSCSI facility is isolated from general network traffic, it is less vulnerable to exploitation.",SCG-6.7:ESXi.enable-chap-auth,"# Set the Chap settings for the Iscsi Adapter ; Get-VMHost | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Set-VMHostHba # Use desired parameters here",
esx.lockdown-mode,P0,HostSystem,VMWARE,config.lockdownMode,vim_property,string,lockdownNormal,Enable Normal Lockdown Mode to restrict access,"Enabling lockdown mode disables direct access to an ESXi host requiring the host be managed remotely from vCenter Server.  This is done to ensure the roles and access controls implemented in vCenter are always enforced and users cannot bypass them by logging into a host directly.   By forcing all interaction to occur through vCenter Server, the risk of someone inadvertently attaining elevated privileges or performing tasks that are not properly audited is greatly reduced.  Note:  Lockdown mode does not apply to  users who log in using authorized keys. When you use an authorized key file for root user authentication, root users are not prevented from accessing a host with SSH even when the host is in lockdown mode. 

Note that users listed in the DCUI.Access list for each host are allowed to override lockdown mode and login to the DCUI.  

By default the ""root"" user is the only user listed in the DCUI.Access list.",SCG-6.7:ESXi.enable-normal-lockdown-mode,# Enable lockdown mode for each host ; Get-VMHost | Foreach { $_.EnterLockdownMode() },scalar:config.lockdownMode
esx.logs-remote,P0,HostSystem,VMWARE,Syslog.global.logHost,advanced_setting,string,Site-Specific,Configure remote logging for ESXi hosts,"Remote logging to a central log host provides a secure, centralized store for ESXi logs. By gathering host log files onto a central host you can more easily monitor all hosts with a single tool. You can also do aggregate analysis and searching to look for such things as coordinated attacks on multiple hosts. Logging to a secure, centralized log server helps prevent log tampering and also provides a long-term audit record. To facilitate remote logging VMware provides the vSphere Syslog Collector.",SCG-6.7:ESXi.enable-remote-syslog,"Get-VMHost | Get-AdvancedSetting -Name Syslog.global.logHost | Set-AdvancedSetting -Value ""<insert syslog server hostname>""",
esx.enable-strict-lockdown-mode,P2,HostSystem,VMWARE,,powercli_only,string,Enabled,Enable Strict lockdown mode to restrict access,"Enabling lockdown mode disables direct access to an ESXi host requiring the host be managed remotely from vCenter Server.  

This is done to ensure the roles and access controls implemented in vCenter are always enforced and users cannot bypass them by logging into a host directly.   By forcing all interaction to occur through vCenter Server, the risk of someone inadvertently attaining elevated privileges or performing tasks that are not properly audited is greatly reduced.  

Strict lockdown mode stops the DCUI service. However, the ESXi Shell and SSH services are independent of lockdown mode. For lockdown mode to be an effective security measure, ensure that the ESXi Shell and SSH services are also disabled. Those services are disabled by default.

When a host is in lockdown mode, users on the Exception Users list can access the host from the ESXi Shell and through SSH if they have the Administrator role on the host and if these services are enabled. This access is possible even in strict lockdown mode. Leaving the ESXi Shell service and the SSH service disabled is the most secure option.",SCG-6.7:ESXi.enable-strict-lockdown-mode,"#Run this at the vCenter level or against an individual host ; #Create HostLockdownMode object ; $level = New-Object VMware.Vim.HostLockdownMode ; #Populate with level of lockdown:(lockdownDisabled,lockdownNormal,lockdownStrict) ; $level = ""lockdownStrict"" ; $esxihosts = get-vmhost ; foreach ($esxihost in $esxihosts) ; { ; $myhost = Get-VMHost $esxihost | Get-View ; $lockdown = Get-View $myhost.ConfigManager.HostAccessManager ; Write-Host ""——————————–"" ; Write-Host ""Setting Lockdown mode to "" $level ; $lockdown.ChangeLockdownMode($level) ; $lockdown.UpdateViewData() ; $lockdownstatus = $lockdown.LockdownMode ; Write-Host ""Lockdown mode on $esxihost is set to $lockdownstatus"" ; Write-Host ""——————————–"" ; }",
esx.firewall-restrict-access,P1,HostSystem,VMWARE,,powercli_only,string,Site-Specific,Configure the ESXi host firewall to restrict access to services running on the host,"Unrestricted access to services running on an ESXi host can expose a host to outside attacks and unauthorized access. Reduce the risk by configuring the ESXi firewall to only allow access from authorized networks. This guideline is focused specifically on two types of access. SSH (which is disabled by default) and vSphere Web Access running on Port 80. 

Modification of firewall rules for any other service may have a negative impact on the overall operation. Best practices state that ESXi and vCenter should be running in a separate network.

This guideline will show how to limit access to the SSH and Web server to IP address ranges to further limit the scope of vulnerability.",SCG-6.7:ESXi.firewall-restrict-access,Please see documentation for the following cmdlets. ; ; Get-VMHostFirewallException ; Set-VMHostFirewallException ; Get-VMHostFirewallDefaultPolicy ; Set-VMHostFirewallDefaultPolicy ;,
esx.account-auto-unlock-time,P2,HostSystem,VMWARE,Security.AccountUnlockTime,advanced_setting,integer,900,Set the time after which a locked account is automatically unlocked,"Multiple account login failures for the same account could possibly be a threat vector trying to brute force the system or cause denial of service. Such attempts to brute force the system should be limited by locking out the account after reaching a threshold. 

In case, you would want to auto unlock the account, i.e. unlock the account without administrative action, set the time for which the account remains locked. Setting a high duration for which account remains locked would deter and serverly slow down the brute force method of logging in.",SCG-6.7:ESXi.set-account-auto-unlock-time,Get-VMHost | Get-AdvancedSetting -Name Security.AccountUnlockTime | Set-AdvancedSetting -Value 900,
esx.account-lockout,P2,HostSystem,VMWARE,Security.AccountLockFailures,advanced_setting,integer,3,Set the count of maximum failed login attempts before the account is locked out,Multiple account login failures for the same account could possibly be a threat vector trying to brute force the system or cause denial of service. Such attempts to brute force the system should be limited by locking out the account after reaching a threshold.,SCG-6.7:ESXi.set-account-lockout,Get-VMHost | Get-AdvancedSetting -Name Security.AccountLockFailures | Set-AdvancedSetting -Value 3,
esx.lockdown-dcui-access,P2,HostSystem,VMWARE,DCUI.Access,advanced_setting,string,List of authorized users,Set DCUI.Access to allow trusted users to override lockdown mode,"Lockdown mode disables direct host access requiring that admins manage hosts from vCenter Server.  However, if a host becomes isolated from vCenter Server, the admin is locked out and can no longer manage the host. If you are using normal lockdown mode, you can avoid becoming locked out of an ESXi host that is running in lockdown mode, by setting DCUI.Access to a list of highly trusted users who can override lockdown mode and access the DCUI. The DCUI is not running in strict lockdown mode.",SCG-6.7:ESXi.set-dcui-access,"Get-VMHost | Get-AdvancedSetting -Name DCUI.Access | Set-AdvancedSetting -Value ""root""",
esx.dcui-timeout,P2,HostSystem,VMWARE,UserVars.DcuiTimeOut,advanced_setting,integer,600,Audit DCUI timeout value,DCUI is used for directly logging into ESXi host and carrying out host management tasks. The idle connections to DCUI must be terminated to avoid any unintended usage of the DCUI originating from a left over login session.,SCG-6.7:ESXi.set-dcui-timeout,Get-VMHost | Get-AdvancedSetting -Name UserVars.DcuiTimeOut | Set-AdvancedSetting -Value 600,
esx.account-password-policies,P0,HostSystem,VMWARE,Security.PasswordQualityControl,advanced_setting,string,Site-Specific,Establish a password policy for password complexity,"ESXi uses the pam_passwdqc.so plug-in to set password strength and complexity.  It is important to use passwords that are not easily guessed and that are difficult for password generators to determine.   Password strength and complexity rules apply to all ESXi users, including root. They do not apply to Active Directory users when the ESX host is joined to a domain. Those password policies are enforced by AD.",SCG-6.7:ESXi.set-password-policies,"Get-VMHost | Get-AdvancedSetting -Name Security.PasswordQualityControl | Set-AdvancedSetting -Value ""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15""",
esx.shell-interactive-timeout,P0,HostSystem,VMWARE,UserVars.ESXiShellInteractiveTimeOut,advanced_setting,integer,900,Set a timeout to automatically terminate idle ESXi Shell and SSH sessions,"If a user forgets to log out of their SSH session, the idle connection will remains open indefinitely, increasing the potential for someone to gain privileged access to the host.  The ESXiShellInteractiveTimeOut allows you to automatically terminate idle shell sessions.",SCG-6.7:ESXi.set-shell-interactive-timeout,Get-VMHost | Get-AdvancedSetting -Name UserVars.ESXiShellInteractiveTimeOut | Set-AdvancedSetting -Value 900,
esx.shell-timeout,P0,HostSystem,VMWARE,UserVars.ESXiShellTimeOut,advanced_setting,integer,900,Set a timeout to limit how long the ESXi Shell and SSH services are allowed to run,When the ESXi Shell or SSH services are enabled on a host they will run indefinitely.  To avoid having these services left running set the ESXiShellTimeOut.  The ESXiShellTimeOut defines a window of time after which the ESXi Shell and SSH services will automatically be terminated.,SCG-6.7:ESXi.set-shell-timeout,Get-VMHost | Get-AdvancedSetting -Name UserVars.ESXiShellTimeOut | Set-AdvancedSetting -Value 900,
esx.transparent-page-sharing,P2,HostSystem,VMWARE,Mem.ShareForceSalting,advanced_setting,integer,2,Ensure default setting for intra-VM TPS is correct,"Acknowledgement of the recent academic research that leverages Transparent Page Sharing (TPS) to gain unauthorized access to data under certain highly controlled conditions and documents VMware’s precautionary measure of restricting TPS to individual virtual machines by default in upcoming ESXi releases. At this time, VMware believes that the published information disclosure due to TPS between virtual machines is impractical in a real world deployment.

VMs that do not have the sched.mem.pshare.salt option set cannot share memory with any other VMs.",SCG-6.7:ESXi.TransparentPageSharing-intra-enabled,Get-VMHost | Get-AdvancedSetting -Name Mem.ShareForceSalting | Set-AdvancedSetting -Value 2 ;,
esx.vib-acceptance-level-supported,P2,HostSystem,VMWARE,,esxcli,string,"VMware Certified, VMware Accepted or Partner Supported",Verify Image Profile and VIB Acceptance Levels,"Verify the ESXi Image Profile to only allow signed VIBs.  An unsigned VIB represents untested code installed on an ESXi host.  The ESXi Image profile supports four acceptance levels: 
(1) VMwareCertified - VIBs created, tested and signed by VMware
(2) VMwareAccepted - VIBs created by a VMware partner but tested and signed by VMware, 
(3) PartnerSupported - VIBs created, tested and signed by a certified VMware partner 
(4) CommunitySupported - VIBs that have not been tested by VMware or a VMware partner.  Community Supported VIBs are not supported and do not have a digital signature.  To protect the security and integrity of your ESXi hosts do not allow unsigned (CommunitySupported) VIBs to be installed on your hosts.",SCG-6.7:ESXi.verify-acceptance-level-supported,"# Set the Software AcceptanceLevel for each host ; Foreach ($VMHost in Get-VMHost ) { $ESXCli = Get-EsxCli -VMHost $VMHost $ESXCli.software.acceptance.Set(""VMwareCertified"")}",
vm.deactivate-console-copy,P2,VirtualMachine,VMWARE,isolation.tools.copy.disable,advanced_setting,boolean,TRUE,Explicitly disable copy/paste operations,"Copy and paste operations are disabled by default. However, if you explicitly disable this feature audit controls can check that this setting is correct.",SCG-6.7:VM.disable-console-copy,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""isolation.tools.copy.disable"" -value $True",
vm.deactivate-console-paste,P2,VirtualMachine,VMWARE,isolation.tools.paste.disable,advanced_setting,boolean,TRUE,Explicitly disable copy/paste operations,"Copy and paste operations are disabled by default, however, if you explicitly disable this feature, audit controls can check that this setting is correct.",SCG-6.7:VM.disable-console-paste,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""isolation.tools.paste.disable"" -value $True",
vm.deactivate-disk-shrinking-shrink,P2,VirtualMachine,VMWARE,isolation.tools.diskShrink.disable,advanced_setting,boolean,TRUE,Disable virtual disk shrinking,"Shrinking a virtual disk reclaims unused space in it. The shrinking process itself, which takes place on the host, reduces the size of the disk's files by the amount of disk space reclaimed in the wipe process. If there is empty space in the disk, this process reduces the amount of space the virtual disk occupies on the host drive. Normal users and processes—that is, users and processes without root or administrator privileges—within virtual machines have the capability to invoke this procedure. A non-root user cannot wipe the parts of the virtual disk that require root-level permissions. However, if this is done repeatedly, the virtual disk can become unavailable while this shrinking is being performed, effectively causing a denial of service. In most datacenter environments, disk shrinking is not done, so you should disable this feature. Repeated disk shrinking can make a virtual disk unavailable. Limited capability is available to non-administrative users in the guest.",SCG-6.7:VM.disable-disk-shrinking-shrink,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""isolation.tools.diskShrink.disable"" -value $True",
vm.deactivate-disk-shrinking-wiper,P2,VirtualMachine,VMWARE,isolation.tools.diskWiper.disable,advanced_setting,boolean,TRUE,Disable virtual disk shrinking,"Shrinking a virtual disk reclaims unused space in it. VMware Tools reclaims all unused portions of disk partitions (such as deleted files) and prepares them for shrinking. Wiping takes place in the guest operating system.  If there is empty space in the disk, this process reduces the amount of space the virtual disk occupies on the host drive. Normal users and processes—that is, users and processes without root or administrator privileges—within virtual machines have the capability to invoke this procedure. A non-root user  cannot wipe the parts of the virtual disk that require root-level permissions.  However, if this is done repeatedly, the virtual disk can become unavailable while this shrinking is being performed, effectively causing a denial of service. In most datacenter environments, disk shrinking is not done, so you should disable this feature. Repeated disk shrinking can make a virtual disk unavailable. Limited capability is available to non-administrative users in the guest.",SCG-6.7:VM.disable-disk-shrinking-wiper,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""isolation.tools.diskWiper.disable"" -value $True",
vm.disable-independent-nonpersistent,P2,VirtualMachine,VMWARE,scsiX:Y.mode,powercli_only,string,One of the following: * Not present (defaults to Persistent if blank) * Explicitly set to Persistent *Set to Independent-Persistent,Avoid using independent nonpersistent disks,"The security issue with nonpersistent disk mode is that successful attackers, with a simple shutdown or reboot, might undo or remove any traces that they were ever on the machine. To safeguard against this risk, production virtual machines should be set to use persistent disk mode; additionally, make sure that activity within the VM is logged remotely on a separate server, such as a syslog server or equivalent Windows-based event collector. Without a persistent record of activity on a VM, administrators might never know whether they have been attacked or hacked.",SCG-6.7:VM.disable-independent-nonpersistent,#Alter the parameters for the following cmdlet to set the VM Disk Type: ; Get-VM | Get-HardDisk | Set-HardDisk,
vm.deactivate-non-essential-3d-features,P0,VirtualMachine,VMWARE,mks.enable3d,advanced_setting,boolean,FALSE,Disable 3D features on Server and desktop virtual machines,"It is suggested that 3D be disabled on virtual machines that do not require 3D functionality, (e.g. server or desktops not using 3D applications).",SCG-6.7:VM.disable-non-essential-3D-features,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""mks.enable3d"" -value $False",
vm.disconnect-devices-floppy,P2,VirtualMachine,VMWARE,floppyX.present,powercli_only,string,not present or False,Disconnect unauthorized devices,"Ensure that no device is connected to a virtual machine if it is not required. For example, serial and parallel ports are rarely used for virtual machines in a datacenter environment, and CD/DVD drives are usually connected only temporarily during software installation. For less commonly used devices that are not required, either the parameter should not be present or its value must be False.  NOTE: The parameters listed are not sufficient to ensure that a device is usable; other required parameters specify how each device is instantiated.  Any enabled or connected device represents a potential attack channel.

When setting is set to False, functionality is disabled, however the device may still show up withing the guest operation system.",SCG-6.7:VM.disconnect-devices-floppy,# Remove all Floppy drives attached to VMs ; Get-VM | Get-FloppyDrive | Remove-FloppyDrive,
vm.disconnect-devices-parallel,P2,VirtualMachine,VMWARE,parallelX.present,powercli_only,string,not present or False,Disconnect unauthorized devices,"Ensure that no device is connected to a virtual machine if it is not required. For example, serial and parallel ports are rarely used for virtual machines in a datacenter environment, and CD/DVD drives are usually connected only temporarily during software installation. For less commonly used devices that are not required, either the parameter should not be present or its value must be False.  NOTE: The parameters listed are not sufficient to ensure that a device is usable; other required parameters specify how each device is instantiated.  Any enabled or connected device represents a potential attack channel.

When setting is set to False, functionality is disabled, however the device may still show up withing the guest operation system.",SCG-6.7:VM.disconnect-devices-parallel,# In this Example you will need to add the functions from this post: http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in-powercli.html ; # Remove all Parallel Ports attached to VMs ; Get-VM | Get-ParallelPort | Remove-ParallelPort,
vm.disconnect-devices-serial,P2,VirtualMachine,VMWARE,serialX.present,powercli_only,string,not present or False,Disconnect unauthorized devices,"Ensure that no device is connected to a virtual machine if it is not required. For example, serial and parallel ports are rarely used for virtual machines in a datacenter environment, and CD/DVD drives are usually connected only temporarily during software installation. For less commonly used devices that are not required, either the parameter should not be present or its value must be False.  NOTE: The parameters listed are not sufficient to ensure that a device is usable; other required parameters specify how each device is instantiated.  Any enabled or connected device represents a potential attack channel.

When setting is set to False, functionality is disabled, however the device may still show up withing the guest operation system.",SCG-6.7:VM.disconnect-devices-serial,# In this Example you will need to add the functions from this post: http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in-powercli.html ; # Remove all Serial Ports attached to VMs ; Get-VM | Get-SerialPort | Remove-SerialPort,
vm.limit-setinfo-size,P2,VirtualMachine,VMWARE,tools.setInfo.sizeLimit,advanced_setting,integer,1048576,Limit informational messages from the VM to the VMX file,"The configuration file containing these name-value pairs is limited to a size of 1MB. This 1MB capacity should be sufficient for most cases, but you can change this value if necessary. You might increase this value if large amounts of custom information are being stored in the configuration file. The default limit is 1MB;this limit is applied even when the sizeLimit parameter is not listed in the .vmx file.  Uncontrolled size for the VMX file can lead to denial of service if the datastore is filled.",SCG-6.7:VM.limit-setinfo-size,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""tools.setInfo.sizeLimit"" -value 1048576",
vm.minimize-console-vnc-use,P2,VirtualMachine,VMWARE,RemoteDisplay.vnc.enabled,advanced_setting,boolean,FALSE,Control access to VM console via VNC protocol,"The VM console enables you to connect to the console of a virtual machine, in effect seeing what a monitor on a physical server would show. This console is also availabe via the VNC protocol. Setting up this access also involves setting up firewall rules on each ESXi server the virtual machine will run on.",SCG-6.7:VM.minimize-console-VNC-use,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""RemoteDisplay.vnc.enabled"" -value $False",
vm.restrict-host-info,P2,VirtualMachine,VMWARE,tools.guestlib.enableHostInfo,advanced_setting,boolean,FALSE,Do not send host information to guests,"By enabling a VM to get detailed information about the physical host, an adversary could potentially use this information to inform further attacks on the host. 

If set to True a VM can obtain detailed information about the physical host. *The default value for the parameter is False but is displayed as NULL. Setting to False is purely for audit purposes.*

This setting should not be True unless a particular VM requires this information for performance monitoring.",SCG-6.7:VM.restrict-host-info,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""tools.guestlib.enableHostInfo"" -value $False",
vm.transparentpagesharing-inter-vm-enabled,P2,VirtualMachine,VMWARE,sched.mem.pshare.salt,advanced_setting,string,Site-Specific,Check for enablement of salted VM's that are sharing memory pages,"When salting is enabled (Mem.ShareForceSalting=1 or 2) in order to share a page between two virtual machines both salt and the content of the page must be same. A salt value is a configurable vmx option for each virtual machine. You can manually specify the salt values in the virtual machine's vmx file with the new vmx option sched.mem.pshare.salt. If this option is not present in the virtual machine's vmx file, then the value of vc.uuid vmx option is taken as the default value. Since the vc.uuid is unique to each virtual machine, by default TPS happens only among the pages belonging to a particular virtual machine (Intra-VM).

If a group of virtual machines are considered trustworthy, it is possible to share pages among them by setting a common salt value for all those virtual machines (inter-VM).

Default value is null. When this happens the VM has a random salt value generated.",SCG-6.7:VM.TransparentPageSharing-inter-VM-Enabled,"# Add the setting to all VMs ; $ vmsaltvalue = ""<some unique value>"" ; Get-VM | New-AdvancedSetting -Name ""sched.mem.pshare.salt"" -value $vmsaltvalue",
vm.dvfilter,P2,VirtualMachine,VMWARE,ethernetX.filterX.name = filtername,manual_audit,string,NULL unless using dvfilter,Control access to VMs through the dvfilter network APIs,"An attacker might compromise a VM by making use the dvFilter API. Configure only those VMs to use the API that need this access.

This setting is considered an ""Audit Only"" guideline. If there is a value present, the admin should check it to ensure it is correct.",SCG-6.7:VM.verify-network-filter,,
vm.pci-passthrough,P0,VirtualMachine,VMWARE,config.hardware.device.absent.VirtualPCIPassthrough,vim_property,boolean,true,Audit all uses of PCI or PCIe passthrough functionality,"Using the VMware DirectPath I/O feature to pass through a PCI or PCIe device to a virtual machine results in a potential security vulnerability.  The vulnerability can be triggered by buggy or malicious code running in privileged mode in the guest OS, such as a device driver.  Industry-standard hardware and firmware does not currently have sufficient error containment support to make it possible for ESXi to close the vulnerability fully.

There can be a valid business reason for a VM to have this configured. This is an audit-only guideline. You should be aware of what virtual machines are configured with direct passthrough of PCI and PCIe devices and ensure that their guest OS is monitored carefully for malicious or buggy drivers that could crash the host.",SCG-6.7:VM.verify-PCI-Passthrough,"# Add the setting to all VMs ; Get-VM | New-AdvancedSetting -Name ""pciPassthru*.present"" -value """"",vm_hardware_device_absent:config.hardware.device.VirtualPCIPassthrough
esx.network-bpdu,P0,HostSystem,VMWARE,Net.BlockGuestBPDU,advanced_setting,integer,1,Enable BPDU filter on the ESXi host to prevent being locked out of physical switch ports with Portfast and BPDU Guard enabled,"BPDU Guard and Portfast are commonly enabled on the physical switch to which the ESXi host is directly connected to reduce the STP convergence delay. 

If a BPDU packet is sent from a virtual machine on the ESXi host to the physical switch so configured, a cascading lockout of all the uplink interfaces from the ESXi host can occur. 

To prevent this type of lockout, BPDU Filter can be enabled on the ESXi host to drop any BPDU packets being sent to the physical switch. 

The caveat is that certain SSL VPN which use Windows bridging capability can legitimately generate BPDU packets. The administrator should verify that there are no legitimate BPDU packets generated by virtual machines on the ESXi host prior to enabling BPDU Filter. 

If BPDU Filter is enabled in this situation, enabling Reject Forged Transmits on the virtual switch port group adds protection against Spanning Tree loops.

In the 6.7 SCG this was changed to a Site-Specific setting to be more in line with the guidelines intent. You need to be using BPDU in guest and have BPDU configured on a hardware switch.",SCG-6.7:vNetwork.enable-bpdu-filter,Get-VMHost | Get-AdvancedSetting -Name Net.BlockGuestBPDU | Set-AdvancedSetting -Value 1,
