control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
esx.deactivate-snmp,P0,HostSystem,VMWARE,service.snmpd.running,vim_property,boolean,false,The ESXi SNMP service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,SCG-7.0:esxi-7.deactivate-snmp,Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'snmpd'} | Set-VMHostService -Policy Off ; Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'snmpd'} | Stop-VMHostService,service_state:snmpd:running
esx.deactivate-ssh,P2,HostSystem,VMWARE,service.TSM-SSH.running,vim_property,boolean,false,The ESXi SSH service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,SCG-7.0:esxi-7.deactivate-ssh,Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM-SSH'} | Set-VMHostService -Policy Off ; Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM-SSH'} | Stop-VMHostService,service_state:TSM-SSH:running
esx.etc-issue,P1,HostSystem,VMWARE,Config.Etc.issue,advanced_setting,string,Consult your organization's legal advisors for text that is applicable to your environment.,Configure the login banner for ESXi host SSH connections.,"ESXi enables a login message display, often used to deter intruders and inform authorized users about system use obligations. This parameter defines the text shown during an SSH connection. It is highly recommended to keep SSH in the stopped state unless troubleshooting.",SCG-7.0:esxi-7.etc-issue,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.Etc.Issue | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",
esx.firewall-incoming-default,P2,HostSystem,VMWARE,config.firewall.defaultPolicy.incomingBlocked,vim_property,boolean,true,The ESXi host must configure the firewall to block network traffic by default.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and preventing unauthorized access to the host.",SCG-7.0:esxi-7.firewall-incoming-default,$ESXcli = Get-EsxCli -VMHost $ESXi -V2 ; $arguments = $ESXcli.network.firewall.set.CreateArgs() ; $arguments.defaultaction = $FALSE ; $arguments.enabled = $true ; $ESXcli.network.firewall.set.Invoke($arguments),bool:config.firewall.defaultPolicy.incomingBlocked
esx.firewall-restrict-access,P1,HostSystem,VMWARE,,esxcli,string,Connections allowed only from authorized infrastructure and administration workstations,Configure the ESXi host firewall to only allow traffic from authorized networks.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and preventing unauthorized access to the host.",SCG-7.0:esxi-7.firewall-restrict-access,"# This is an example which you will want to customize! ; $ESXcli = Get-EsxCli -VMHost $ESXi -V2 ; # Deactivate firewall temporarily so we don't lose connectivity ; $arguments = $ESXcli.network.firewall.set.CreateArgs() ; $arguments.enabled = $false ; $ESXcli.network.firewall.set.Invoke($arguments) ; ; # Unset the ""allow all"" flag ; $arguments = $ESXcli.network.firewall.ruleset.set.CreateArgs() ; $arguments.allowedall = $false ; $arguments.rulesetid = ""sshServer"" ; $ESXcli.network.firewall.ruleset.set.Invoke($arguments) ; ; # Add an IP range ; $arguments = $ESXcli.network.firewall.ruleset.allowedip.add.CreateArgs() ; $arguments.ipaddress = ""192.168.0.0/16"" ; $arguments.rulesetid = ""sshServer"" ; $ESXcli.network.firewall.ruleset.allowedip.add.Invoke($arguments) ; ; # Enable the firewall ; $arguments = $ESXcli.network.firewall.set.CreateArgs() ; $arguments.enabled = $true ; $ESXcli.network.firewall.set.Invoke($arguments)",
esx.host-client-session-timeout,P2,HostSystem,VMWARE,UserVars.HostClientSessionTimeout,advanced_setting,integer,900,The ESXi host must automatically terminate idle host client sessions.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",SCG-7.0:esxi-7.host-client-session-timeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.HostClientSessionTimeout | Set-AdvancedSetting -Value 900,
esx.iscsi-mutual-chap,P0,HostSystem,VMWARE,"Set iSCSI storage adapter authentication to ""Use bidirectional CHAP"" and supply credentials",powercli_only,string,Configured If Feature In Use,Enable bidirectional/mutual CHAP authentication for iSCSI traffic.,"Mutual CHAP provides an additional layer of protection by requiring both the initiator (client) and the target (server) to verify their identities to each other, thereby ensuring data transmitted between the two is not intercepted or altered by unauthorized entities.",SCG-7.0:esxi-7.iscsi-mutual-chap,"# Get-VMHost -Name $ESXi | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Set-VMHostHba <parameters>",
esx.lockdown-dcui-access,P2,HostSystem,VMWARE,DCUI.Access,advanced_setting,string,root,The ESXi host must have an accurate DCUI.Access list.,"Ensures that only authorized users have direct console user interface (DCUI) access to the ESXi host when Lockdown Mode is enabled. The root user cannot be removed from the list.

To control ESXi Shell and/or SSH access use the Lockdown Mode Exception Users list.",SCG-7.0:esxi-7.lockdown-dcui-access,Get-VMHost -Name $ESXi | Get-AdvancedSetting DCUI.Access | Set-AdvancedSetting -Value root,
esx.lockdown-exception-users,P2,HostSystem,VMWARE,,powercli_only,string,Null,The ESXi host must have an accurate Exception Users list.,"Users on the Lockdown Mode ""Exception Users"" list do not lose their privileges when the host enters lockdown mode, which can potentially defeat the purpose of lockdown mode.",SCG-7.0:esxi-7.lockdown-exception-users,(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).UpdateLockdownExceptions($NULL),
esx.lockdown-mode,P0,HostSystem,VMWARE,config.lockdownMode,vim_property,string,lockdownNormal,Enable normal lockdown mode on the ESXi host.,"Enabling lockdown mode deactivates direct access to an ESXi host and requires that the host be managed remotely from vCenter Server. This is done to ensure that the roles and access controls implemented in vCenter are always enforced, and users cannot bypass them by logging into a host directly. By forcing all interactions to occur through vCenter Server, the risk of someone attaining elevated privileges or performing tasks that are not properly audited is greatly reduced.

Note that users listed in the Exception Users list for each host are allowed to override lockdown mode and log in. By default, no users are present on the Exception Users list.

There are three settings for lockdown mode: disabled, normal, and strict. Choosing strict means that if the ESXi host loses contact with vCenter Server, it cannot be managed in any way until that connection is restored. If the connection cannot be restored, the host will need to be rebuilt. This level of lockdown mode is typically not necessary for most deployments and can present significant operational challenges. Therefore, we recommend using normal lockdown mode.",SCG-7.0:esxi-7.lockdown-mode,(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).ChangeLockdownMode('lockdownNormal'),scalar:config.lockdownMode
esx.logs-audit-local,P0,HostSystem,VMWARE,Syslog.global.auditRecord.storageEnable,advanced_setting,boolean,TRUE,The ESXi host must enable audit record logging.,ESXi will store audit records locally.,SCG-7.0:esxi-7.logs-audit-local,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageEnable | Set-AdvancedSetting -Value TRUE,
esx.logs-audit-local-capacity,P1,HostSystem,VMWARE,Syslog.global.auditRecord.storageCapacity,advanced_setting,integer,100,The ESXi host must store one week of audit records.,"If a remote audit record storage facility is available, it is essential to ensure that the local storage capacity is sufficient to hold audit records that may accumulate during anticipated interruptions in the delivery of records to the facility. This ensures that audit records are not lost or overwritten during periods when the remote storage is unavailable, allowing for seamless continuity of the audit trail and compliance requirements.",SCG-7.0:esxi-7.logs-audit-local-capacity,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageCapacity | Set-AdvancedSetting -Value 100,
esx.logs-audit-persistent,P0,HostSystem,VMWARE,ScratchConfig.CurrentScratchLocation,advanced_setting,string,not:/tmp/scratch,Configure a persistent log location for all locally stored audit records on the ESXi host.,"ESXi can be configured to store audit records on an in-memory file system.  This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done only a single day's worth of records are stored at any time. In addition audit records will be reinitialized upon each reboot.  This presents a security risk as user activity logged on the host is only stored temporarily and will not persistent across reboots.  This can also complicate auditing and make it harder to monitor events and diagnose issues.  ESXi host audit record logging should always be configured to a persistent datastore.

Cannot be a vSAN datastore. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.",SCG-7.0:esxi-7.logs-audit-persistent,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logDir | Set-AdvancedSetting -Value ""<directory>""",
esx.logs-audit-remote,P0,HostSystem,VMWARE,Syslog.global.auditRecord.remoteEnable,advanced_setting,boolean,TRUE,The ESXi host must transmit audit records to a remote host.,ESXi will transmit audit records to the configured log collector.,SCG-7.0:esxi-7.logs-audit-remote,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.remoteEnable | Set-AdvancedSetting -Value TRUE,
esx.logs-filter,P2,HostSystem,VMWARE,syslog.LogFilteringEnabled,esxcli,boolean,FALSE,The ESXi host must not enable log filtering.,"You can create log filters to reduce the number of repetitive entries, and to deny specific log events entirely.",SCG-7.0:esxi-7.logs-filter,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logFiltersEnable | Set-AdvancedSetting -Value FALSE,esxcli:system.syslog.config.logfilter.get:LogFilteringEnabled
esx.logs-level,P2,HostSystem,VMWARE,Config.HostAgent.log.level,advanced_setting,string,info,Set the ESXi host logging informational level to info.,It is important to ensure that sufficient information is present in audit logs for diagnostics and forensics purposes.,SCG-7.0:esxi-7.logs-level,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.log.level | Set-AdvancedSetting -Value info,
esx.logs-level-global,P0,HostSystem,VMWARE,Syslog.global.logLevel,advanced_setting,string,info,The ESXi host must log sufficient information for events.,"Without sufficient log data, critical indicators of compromise may go unnoticed, leading to increased vulnerability and potential failure to respond effectively to cybersecurity incidents.",SCG-7.0:esxi-7.logs-level-global,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logLevel | Set-AdvancedSetting -Value info,
esx.logs-persistent,P0,HostSystem,VMWARE,LocalLogOutputIsPersistent,esxcli,boolean,true,Configure a persistent log location for all locally stored logs on the ESXi host.,"ESXi can be configured to store log files on an in-memory file system. This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done, only a single day's worth of logs is stored at any time. Additionally, log files will be reinitialized upon each reboot. This presents a security risk as user activity logged on the host is only stored temporarily and will not persist across reboots. It can also complicate auditing and make it harder to monitor events and diagnose issues. Therefore, it is recommended to configure ESXi host logging to a persistent datastore.

Cannot be a vSAN datastore unless Syslog.global.vsanBacking is set, which has caveats & dependencies. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.",SCG-7.0:esxi-7.logs-persistent,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logDir | Set-AdvancedSetting -Value ""<directory>""",esxcli:system.syslog.config.get:LocalLogOutputIsPersistent
esx.logs-remote,P0,HostSystem,VMWARE,Syslog.global.logHost,advanced_setting,string,Site-Specific Log Server,Configure a remote log server for the ESXi host.,"Remote logging to a central log host provides a secure and centralized store for ESXi logs. By gathering host log files onto a central host, you can more easily monitor all hosts using a single tool. Additionally, you can perform aggregate analysis and searching to identify coordinated attacks on multiple hosts. Logging to a secure and centralized log server helps prevent log tampering and ensures a long-term audit record.",SCG-7.0:esxi-7.logs-remote,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logHost | Set-AdvancedSetting -Value ""<log collector>""",
esx.logs-remote-tls,P2,HostSystem,VMWARE,Syslog.global.certificate.checkSSLCerts,advanced_setting,boolean,TRUE,The ESXi host must verify certificates for TLS remote logging endpoints.,TLS certificates help ensure that the endpoint is authentic and trustworthy.,SCG-7.0:esxi-7.logs-remote-tls,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.checkSSLCerts | Set-AdvancedSetting -Value TRUE,
esx.logs-remote-tls-x509,P0,HostSystem,VMWARE,Syslog.global.certificate.strictX509Compliance,advanced_setting,boolean,TRUE,The ESXi host must use strict x509 verification for TLS-enabled remote logging endpoints.,"This ""x509-strict"" option performs additional validity checks on CA root certificates during verification.",SCG-7.0:esxi-7.logs-remote-tls-x509,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.strictX509Compliance | Set-AdvancedSetting -Value TRUE,
esx.network-bpdu,P0,HostSystem,VMWARE,Net.BlockGuestBPDU,advanced_setting,integer,1,Enable the Bridge Protocol Data Unit (BPDU) filter on the ESXi host.,"BPDUs (Bridge Protocol Data Units) are used to transmit Spanning Tree Protocol (STP) information and detect network loops. BPDU Guard and Portfast are commonly enabled on the physical switch directly connected to the ESXi host to reduce spanning tree convergence delay.

However, if a BPDU packet is sent from a virtual machine on the ESXi host to the configured physical switch, it can result in a cascading lockout of all uplink interfaces from the ESXi host. To prevent this type of lockout, BPDU Filter can be enabled on the ESXi host to drop any BPDU packets being sent to the physical switch.

It is important to note that Standard and Distributed Virtual Switches do not support STP and do not generate BPDUs.",SCG-7.0:esxi-7.network-bpdu,Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.BlockGuestBPDU | Set-AdvancedSetting -Value 1,
esx.network-dvfilter,P2,HostSystem,VMWARE,Net.DVFilterBindIpAddress,advanced_setting,string,"""""",Use of the dvFilter network APIs must be restricted on the ESXi host.,"If you are not using a product such as VMware NSX that utilizes the dvfilter network API, it is recommended not to configure the host to send network information to an IP address. Enabling the API and referencing an IP address that is compromised could potentially provide unauthorized access to the network of other virtual machines (VMs) on the host.

If you are using a product that relies on this API, it is important to verify that the host has been configured correctly to ensure secure network communication.",SCG-7.0:esxi-7.network-dvfilter,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.DVFilterBindIpAddress | Set-AdvancedSetting -Value """"",
vds.network-reject-forged-transmit-standardswitch,P2,DistributedVirtualSwitch,VMWARE,securityPolicy.forgedTransmits,vim_property,string,Reject,All standard switches and their port groups must be configured to reject forged transmits.,"If the MAC address of a virtual machine operating system changes, it allows the operating system to send frames with an impersonated source MAC address, potentially enabling malicious attacks on devices within a network by impersonating an authorized network adapter.

When the ""Forged transmits"" option is set to ""Accept,"" ESXi does not compare the source and effective MAC addresses.

To protect against MAC impersonation, you can set the ""Forged transmits"" option to ""Reject."" In this case, the host compares the source MAC address being transmitted by the guest operating system with the effective MAC address for its virtual machine adapter to check for a match. If the addresses do not match, the ESXi host drops the packet.",SCG-7.0:esxi-7.network-reject-forged-transmit-standardswitch,Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -ForgedTransmits $false ; Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -ForgedTransmitsInherited $true,bool_policy:config.defaultPortConfig.securityPolicy.forgedTransmits
vds.network-reject-mac-changes-standardswitch,P2,DistributedVirtualSwitch,VMWARE,securityPolicy.macChanges,vim_property,string,Reject,All standard switches and their port groups must be configured to reject guest MAC address changes.,"If the virtual machine operating system changes the MAC address, it can send frames with an impersonated source MAC address, enabling it to stage malicious attacks on devices within a network by impersonating a network adapter authorized by the receiving network. To prevent virtual machines from changing their effective MAC address, measures should be taken to enforce MAC address stability or restrict the ability to modify MAC addresses. This helps mitigate the risk of MAC impersonation and potential malicious activities.",SCG-7.0:esxi-7.network-reject-mac-changes-standardswitch,Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -MacChanges $false ; Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -MacChangesInherited $true,bool_policy:config.defaultPortConfig.securityPolicy.macChanges
vds.network-reject-promiscuous-mode-standardswitch,P2,DistributedVirtualSwitch,VMWARE,securityPolicy.allowPromiscuous,vim_property,string,Reject,All standard switches and their port groups must be configured to reject guest promiscuous mode requests.,"When promiscuous mode is enabled for a port group, all virtual machines connected to that port group have the potential to read all packets transmitted across that port group, regardless of the intended recipient.

It is important to consider the potential impact and design considerations before changing the default value of promiscuous mode.",SCG-7.0:esxi-7.network-reject-promiscuous-mode-standardswitch,Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuous $false ; Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuousInherited $true,bool_policy:config.defaultPortConfig.securityPolicy.allowPromiscuous
dvpg.network-vgt,P2,DistributedVirtualPortgroup,VMWARE,,powercli_only,string,Not Configured,The ESXi host must restrict the use of Virtual Guest Tagging (VGT) on Standard Switches.,"When a port group is set to VLAN 4095, the vSwitch passes all network frames to the attached virtual machines (VMs) without modifying the VLAN tags. In vSphere, this is referred to as VGT. The VM must process the VLAN information itself via an 802.1Q driver in the operating system.

VLAN 4095 must only be implemented if the attached VMs have been specifically authorized and are capable of managing VLAN tags themselves. If VLAN 4095 is enabled inappropriately, it may cause denial of service or allow a VM to interact with traffic on an unauthorized VLAN.",SCG-7.0:esxi-7.network-vgt,"Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard -Name $PG| Set-VirtualPortGroup -VlanID ""<new VLAN>""",
esx.secureboot,P0,HostSystem,VMWARE,,esxcli,string,Enabled,The ESXi host must enable Secure Boot enforcement.,"Secure Boot is part of the UEFI firmware standard. With UEFI Secure Boot enabled, a host refuses to load any UEFI driver or app unless the operating system bootloader has a valid digital signature. Secure Boot for ESXi requires support from the firmware and it requires that all ESXi kernel modules, drivers, and VIBs be signed by VMware or a partner subordinate.

Secure Boot is enabled in the BIOS of the ESXi physical server and supported by the hypervisor boot loader. This control flips ESXi from merely supporting Secure Boot to requiring it. Without this setting enabled, and configuration encryption, an ESXi host could be subject to offline attacks. An attacker could simply transfer the ESXi install drive to a non-Secure Boot host and boot it up without ESXi complaining.",SCG-7.0:esxi-7.secureboot,$ESXcli = Get-EsxCli -VMHost $ESXi -V2 ; $arguments = $ESXcli.system.settings.encryption.set.CreateArgs() ; $arguments.requiresecureboot = $true ; $ESXcli.system.settings.encryption.set.Invoke($arguments),
esx.shell-interactive-timeout,P0,HostSystem,VMWARE,UserVars.ESXiShellInteractiveTimeOut,advanced_setting,integer,900,Configure the inactivity timeout to automatically terminate idle ESXi host shells.,"If a user forgets to log out of their SSH session, the idle connection will remain open indefinitely, increasing the potential for someone to gain privileged access to the host.",SCG-7.0:esxi-7.shell-interactive-timeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellInteractiveTimeOut | Set-AdvancedSetting -Value 900,
esx.shell-timeout,P0,HostSystem,VMWARE,UserVars.ESXiShellTimeOut,advanced_setting,integer,900,Set a timeout to limit how long the ESXi Shell and SSH services are allowed to run.,The ESXiShellTimeOut defines a window of time after which the ESXi Shell and SSH services will automatically be terminated.,SCG-7.0:esxi-7.shell-timeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellTimeOut | Set-AdvancedSetting -Value 900,
esx.shell-warning,P2,HostSystem,VMWARE,UserVars.SuppressShellWarning,advanced_setting,integer,0,The ESXi host must not suppress warnings that the ESXi shell is enabled.,"Warnings indicating that SSH or the ESXi Shell is enabled can be clues that an attack is in progress. It is important to ensure that SSH and the ESXi Shell are deactivated, and that this variable is not set.",SCG-7.0:esxi-7.shell-warning,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressShellWarning | Set-AdvancedSetting -Value 0,
esx.supported,P2,HostSystem,VMWARE,,powercli_only,string,N/A,ESXi host is running software that has not reached End of General Support status.,Ensure that ESXi is a version that has not reached the End of General Support status.,SCG-7.0:esxi-7.supported,N/A,
